Feature\Product;0;1;2;3;
ENABLE_FEATURE_LSMOD_PRETTY_2_6_OUTPUT;-;-;X;-;
ENABLE_LSMOD;-;-;X;-;
ENABLE_GZIP;-;X;-;-;
ENABLE_FEATURE_GZIP_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_BASH_IS_ASH;X;-;-;X;
ENABLE_FEATURE_BASH_IS_NONE;-;-;X;-;
ENABLE_GETENFORCE;-;X;-;-;
ENABLE_FEATURE_HWCLOCK_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_IP_TUNNEL;-;X;-;-;
ENABLE_IPTUNNEL;-;X;-;-;
ENABLE_IONICE;-;X;-;-;
ENABLE_FEATURE_VI_WIN_RESIZE;-;X;-;-;
ENABLE_VI;-;X;-;-;
ENABLE_FEATURE_EJECT_SCSI;-;X;-;-;
ENABLE_EJECT;-;X;-;-;
ENABLE_FEATURE_LESS_FLAGS;-;X;-;-;
ENABLE_FEATURE_IFUPDOWN_IP;-;X;-;-;
ENABLE_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN;-;-;X;-;
ENABLE_PAM;-;X;-;-;
ENABLE_LOGIN;-;X;-;-;
ENABLE_FGCONSOLE;-;X;-;-;
ENABLE_UBIDETACH;-;X;-;-;
ENABLE_FEATURE_LS_COLOR;-;X;-;-;
ENABLE_FEATURE_RUN_PARTS_LONG_OPTIONS;-;X;-;-;
ENABLE_TUNCTL;-;X;-;-;
ENABLE_FEATURE_INSMOD_LOAD_MAP;-;-;X;-;
ENABLE_FEATURE_TAR_SELINUX;-;X;-;-;
ENABLE_FEATURE_FIND_PERM;-;X;-;-;
ENABLE_FIND;-;X;-;-;
ENABLE_FEATURE_BOOTCHARTD_CONFIG_FILE;-;X;-;-;
ENABLE_BOOTCHARTD;-;X;-;-;
ENABLE_FEATURE_FIND_USER;-;X;-;-;
ENABLE_FEATURE_GPT_LABEL;-;X;-;-;
ENABLE_FEATURE_CHAT_SEND_ESCAPES;-;X;-;-;
ENABLE_TAR;-;X;-;-;
ENABLE_FEATURE_SGI_LABEL;-;X;-;-;
ENABLE_FEATURE_LESS_MARKS;-;X;-;-;
ENABLE_FEATURE_SH_EXTRA_QUIET;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_ROMFS;-;X;-;-;
ENABLE_VOLUMEID;-;X;-;-;
ENABLE_MONOTONIC_SYSCALL;-;X;-;-;
ENABLE_ASH_BUILTIN_PRINTF;-;X;-;-;
ENABLE_FEATURE_IP_ADDRESS;-;X;-;-;
ENABLE_PING;-;X;-;-;
ENABLE_PING6;-;X;-;-;
ENABLE_HWCLOCK;-;X;-;-;
ENABLE_FEATURE_SUID_CONFIG;-;X;-;-;
ENABLE_FEATURE_SUID;-;X;-;-;
ENABLE_CHCON;-;X;-;-;
ENABLE_FEATURE_TOP_DECIMALS;-;X;-;-;
ENABLE_FEATURE_TOP_CPU_USAGE_PERCENTAGE;-;X;-;-;
ENABLE_FEATURE_FIND_PRUNE;-;X;-;-;
ENABLE_FEATURE_HDPARM_GET_IDENTITY;-;X;-;-;
ENABLE_FEATURE_FTPD_ACCEPT_BROKEN_LIST;-;X;-;-;
ENABLE_FTPD;-;X;-;-;
ENABLE_FEATURE_TOP_SMP_PROCESS;-;X;-;-;
ENABLE_TOP;-;X;-;-;
ENABLE_FEATURE_XARGS_SUPPORT_CONFIRMATION;-;X;-;-;
ENABLE_FEATURE_PREFER_APPLETS;-;X;-;-;
ENABLE_GETSEBOOL;-;X;-;-;
ENABLE_FEATURE_FIND_DEPTH;-;X;-;-;
ENABLE_FEATURE_FIND_DELETE;-;X;-;-;
ENABLE_FEATURE_HDPARM_HDIO_SCAN_HWIF;-;X;-;-;
ENABLE_FEATURE_SETFONT_TEXTUAL_MAP;-;X;-;-;
ENABLE_SETFONT;-;X;-;-;
ENABLE_LFS;-;X;-;-;
ENABLE_READAHEAD;-;X;-;-;
ENABLE_ADDGROUP;-;X;-;-;
ENABLE_FEATURE_ADDGROUP_LONG_OPTIONS;-;X;-;-;
ENABLE_WHO;-;X;-;-;
ENABLE_FEATURE_UTMP;-;X;-;-;
ENABLE_ASH_MAIL;-;X;-;-;
ENABLE_FEATURE_INSMOD_LOAD_MAP_FULL;-;-;X;-;
ENABLE_ASH_BASH_COMPAT;-;X;-;-;
ENABLE_FEATURE_DATE_ISOFMT;-;X;-;-;
ENABLE_DATE;-;X;-;-;
ENABLE_UNICODE_NEUTRAL_TABLE;-;-;X;-;
ENABLE_UNICODE_BIDI_SUPPORT;-;-;X;-;
ENABLE_FEATURE_IP_RULE;-;X;-;-;
ENABLE_INSTALL;-;X;-;-;
ENABLE_FEATURE_INSTALL_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_ADDUSER_LONG_OPTIONS;-;X;-;-;
ENABLE_CONSPY;-;X;-;-;
ENABLE_HUSH_RANDOM_SUPPORT;-;X;-;-;
ENABLE_FEATURE_DC_LIBM;-;X;-;-;
ENABLE_DC;-;X;-;-;
ENABLE_RAIDAUTORUN;-;X;-;-;
ENABLE_FEATURE_TAB_COMPLETION;-;X;-;-;
ENABLE_FEATURE_EDITING;-;X;-;-;
ENABLE_FEATURE_HDPARM_HDIO_UNREGISTER_HWIF;-;X;-;-;
ENABLE_SH_MATH_SUPPORT_64;-;X;-;-;
ENABLE_SH_MATH_SUPPORT;-;X;-;-;
ENABLE_FEATURE_BASH_IS_HUSH;-;X;-;-;
ENABLE_FEATURE_ROTATE_LOGFILE;-;X;-;-;
ENABLE_SYSLOGD;-;X;-;-;
ENABLE_IPROUTE;-;X;-;-;
ENABLE_FEATURE_RUNCON_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_VI_8BIT;-;X;-;-;
ENABLE_LOGREAD;-;X;-;-;
ENABLE_FEATURE_IPC_SYSLOG;-;X;-;-;
ENABLE_TFTP;-;X;-;-;
ENABLE_TFTPD;-;X;-;-;
ENABLE_FEATURE_TFTP_GET;-;X;-;-;
ENABLE_LZMA;-;X;-;-;
ENABLE_UNLZMA;-;X;-;-;
ENABLE_FEATURE_GREP_CONTEXT;-;X;-;-;
ENABLE_GREP;-;X;-;-;
ENABLE_FEATURE_AWK_LIBM;-;X;-;-;
ENABLE_AWK;-;X;-;-;
ENABLE_FEATURE_CHECK_TAINTED_MODULE;-;-;X;-;
ENABLE_FEATURE_FANCY_TAIL;-;X;-;-;
ENABLE_TAIL;-;X;-;-;
ENABLE_DPKG;-;X;-;-;
ENABLE_FEATURE_TAR_OLDSUN_COMPATIBILITY;-;X;-;-;
ENABLE_FEATURE_FANCY_PING;-;X;-;-;
ENABLE_FEATURE_TAR_GNU_EXTENSIONS;-;X;-;-;
ENABLE_FEATURE_USE_INITTAB;-;X;-;-;
ENABLE_INIT;-;X;-;-;
ENABLE_FEATURE_MDEV_LOAD_FIRMWARE;-;X;-;-;
ENABLE_MDEV;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_XFS;-;X;-;-;
ENABLE_SELINUXENABLED;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_FAT;-;X;-;-;
ENABLE_USE_BB_CRYPT_SHA;-;X;-;-;
ENABLE_USE_BB_CRYPT;-;X;-;-;
ENABLE_FEATURE_NTPD_SERVER;-;X;-;-;
ENABLE_NTPD;-;X;-;-;
ENABLE_IPADDR;-;X;-;-;
ENABLE_FEATURE_TOP_CPU_GLOBAL_PERCENTS;-;X;-;-;
ENABLE_FEATURE_HTTPD_CONFIG_WITH_SCRIPT_INTERPR;-;X;-;-;
ENABLE_FEATURE_VI_SEARCH;-;X;-;-;
ENABLE_FEATURE_UDHCPC_ARPING;-;X;-;-;
ENABLE_UDHCPC;-;X;-;-;
ENABLE_FEATURE_INSMOD_LOADINKMEM;-;-;X;-;
ENABLE_FEATURE_ENV_LONG_OPTIONS;-;X;-;-;
ENABLE_DIFF;-;X;-;-;
ENABLE_FEATURE_VI_ASK_TERMINAL;-;X;-;-;
ENABLE_PS;-;X;-;-;
ENABLE_INSTALL_SH_APPLET_SYMLINK;X;-;-;X;
ENABLE_INSTALL_SH_APPLET_HARDLINK;-;-;X;-;
ENABLE_INSTALL_SH_APPLET_SCRIPT_WRAPPER;-;X;-;-;
ENABLE_FEATURE_SPLIT_FANCY;-;X;-;-;
ENABLE_SPLIT;-;X;-;-;
ENABLE_ENABLE_FEATURE_RUN_PARTS_FANCY;-;X;-;-;
ENABLE_RUN_PARTS;-;X;-;-;
ENABLE_FEATURE_FIND_CONTEXT;-;X;-;-;
ENABLE_RMMOD;-;-;X;-;
ENABLE_MV;-;X;-;-;
ENABLE_FEATURE_MV_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_FIND_LINKS;-;X;-;-;
ENABLE_FEATURE_DD_IBS_OBS;-;X;-;-;
ENABLE_DD;-;X;-;-;
ENABLE_FEATURE_TAR_NOPRESERVE_TIME;-;X;-;-;
ENABLE_FEATURE_LS_COLOR_IS_DEFAULT;-;X;-;-;
ENABLE_FEATURE_REMOTE_LOG;-;X;-;-;
ENABLE_FEATURE_TELNET_AUTOLOGIN;-;X;-;-;
ENABLE_ENV;-;X;-;-;
ENABLE_SESTATUS;-;X;-;-;
ENABLE_FEATURE_SH_IS_NONE;-;-;X;-;
ENABLE_FEATURE_READLINK_FOLLOW;-;X;-;-;
ENABLE_READLINK;-;X;-;-;
ENABLE_FEATURE_TFTP_BLOCKSIZE;-;X;-;-;
ENABLE_SLATTACH;-;X;-;-;
ENABLE_FEATURE_LS_SORTFILES;-;X;-;-;
ENABLE_FEATURE_CHECK_UNICODE_IN_ENV;-;-;X;-;
ENABLE_FEATURE_VI_READONLY;-;X;-;-;
ENABLE_FEATURE_SUN_LABEL;-;X;-;-;
ENABLE_LAST;-;X;-;-;
ENABLE_FEATURE_WTMP;-;X;-;-;
ENABLE_FEATURE_TFTP_PUT;-;X;-;-;
ENABLE_INSTALL_APPLET_SYMLINKS;-;-;-;X;
ENABLE_INSTALL_APPLET_DONT;-;X;-;-;
ENABLE_DMALLOC;-;X;-;-;
ENABLE_FEATURE_LS_RECURSIVE;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_REISERFS;-;X;-;-;
ENABLE_FTPGET;-;X;-;-;
ENABLE_FTPPUT;-;X;-;-;
ENABLE_SHOWKEY;-;X;-;-;
ENABLE_FEATURE_INETD_SUPPORT_BUILTIN_DISCARD;-;X;-;-;
ENABLE_INETD;-;X;-;-;
ENABLE_FEATURE_CROND_D;-;X;-;-;
ENABLE_CROND;-;X;-;-;
ENABLE_FEATURE_STAT_FORMAT;-;X;-;-;
ENABLE_STAT;-;X;-;-;
ENABLE_FEATURE_IFUPDOWN_IP_BUILTIN;-;X;-;-;
ENABLE_NETSTAT;-;X;-;-;
ENABLE_TRACEROUTE;-;X;-;-;
ENABLE_FEATURE_PIDOF_SINGLE;-;X;-;-;
ENABLE_PIDOF;-;X;-;-;
ENABLE_FEATURE_DEL_USER_FROM_GROUP;-;X;-;-;
ENABLE_DELGROUP;-;X;-;-;
ENABLE_CHOWN;-;X;-;-;
ENABLE_FEATURE_CHOWN_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_ALLOW_EXEC;-;X;-;-;
ENABLE_KILLALL5;-;X;-;-;
ENABLE_KILL;-;X;-;-;
ENABLE_BLKID;-;X;-;-;
ENABLE_FEATURE_HTTPD_PROXY;-;X;-;-;
ENABLE_DEPMOD;-;-;X;-;
ENABLE_FEATURE_MODUTILS_ALIAS;-;-;X;-;
ENABLE_FEATURE_MAKEDEVS_LEAF;X;-;X;X;
ENABLE_FEATURE_MAKEDEVS_TABLE;-;X;-;-;
ENABLE_DESKTOP;-;X;-;-;
ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS;-;X;-;-;
ENABLE_FEATURE_VERBOSE_USAGE;-;X;-;-;
ENABLE_SHOW_USAGE;-;X;-;-;
ENABLE_FEATURE_SU_CHECKS_SHELLS;-;X;-;-;
ENABLE_SU;-;X;-;-;
ENABLE_FEATURE_EDITING_VI;-;X;-;-;
ENABLE_FEATURE_VI_USE_SIGNALS;-;X;-;-;
ENABLE_IFUPDOWN;-;X;X;-;
ENABLE_FEATURE_IFUPDOWN_IPV6;-;X;-;-;
ENABLE_FEATURE_IP_ROUTE;-;X;-;-;
ENABLE_FEATURE_CHCON_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_LS_USERNAME;-;X;-;-;
ENABLE_FEATURE_MKDIR_LONG_OPTIONS;-;X;-;-;
ENABLE_DHCPRELAY;-;X;-;-;
ENABLE_FEATURE_SHARED_BUSYBOX;-;-;X;-;
ENABLE_FEATURE_EDITING_SAVEHISTORY;-;X;-;-;
ENABLE_START_STOP_DAEMON;-;X;-;-;
ENABLE_FEATURE_START_STOP_DAEMON_LONG_OPTIONS;-;X;-;-;
ENABLE_ARP;-;X;-;-;
ENABLE_FEATURE_DATE_NANO;-;X;-;-;
ENABLE_FEATURE_SH_STANDALONE;-;X;-;-;
ENABLE_FEATURE_LS_TIMESTAMPS;-;X;-;-;
ENABLE_UPTIME;-;X;-;-;
ENABLE_FEATURE_IPV6;-;X;-;-;
ENABLE_TRACEROUTE6;-;X;-;-;
ENABLE_HD;-;X;-;-;
ENABLE_HEXDUMP;-;X;-;-;
ENABLE_FEATURE_DIFF_DIR;-;X;-;-;
ENABLE_EXPAND;-;X;-;-;
ENABLE_FEATURE_EXPAND_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_LESS_WINCH;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_HFS;-;X;-;-;
ENABLE_FEATURE_SETCONSOLE_LONG_OPTIONS;-;X;-;-;
ENABLE_LOADFONT;-;X;-;-;
ENABLE_SETENFORCE;-;X;-;-;
ENABLE_FEATURE_FIND_PATH;-;X;-;-;
ENABLE_LOSETUP;-;X;-;-;
ENABLE_FEATURE_MOUNT_FSTAB;-;X;-;-;
ENABLE_FEATURE_FIND_EXEC;-;X;-;-;
ENABLE_DUMPKMAP;-;X;-;-;
ENABLE_FEATURE_EDITING_ASK_TERMINAL;-;X;-;-;
ENABLE_NC_110_COMPAT;-;X;-;-;
ENABLE_NC;-;X;-;-;
ENABLE_PIE;-;X;-;-;
ENABLE_FEATURE_HTTPD_ENCODE_URL_STR;-;X;-;-;
ENABLE_RFKILL;-;X;-;-;
ENABLE_HUSH_IF;-;X;-;-;
ENABLE_TELNETD;-;X;-;-;
ENABLE_FEATURE_TOPMEM;-;X;-;-;
ENABLE_FEATURE_LESS_BRACKETS;-;X;-;-;
ENABLE_FEATURE_HTTPD_RANGES;-;X;-;-;
ENABLE_HUSH_FUNCTIONS;-;X;-;-;
ENABLE_DEALLOCVT;-;X;-;-;
ENABLE_FEATURE_SEAMLESS_XZ;-;X;-;-;
ENABLE_FEATURE_SEAMLESS_Z;-;X;-;-;
ENABLE_FEATURE_TAR_AUTODETECT;-;X;-;-;
ENABLE_FEATURE_SEAMLESS_GZ;-;X;-;-;
ENABLE_FEATURE_SEAMLESS_BZ2;-;X;-;-;
ENABLE_FEATURE_SEAMLESS_LZMA;-;X;-;-;
ENABLE_LZOP_COMPR_HIGH;-;X;-;-;
ENABLE_LZOP;-;X;-;-;
ENABLE_FEATURE_INETD_SUPPORT_BUILTIN_CHARGEN;-;X;-;-;
ENABLE_FEATURE_TFTP_PROGRESS_BAR;-;X;-;-;
ENABLE_FEATURE_SETFILES_CHECK_OPTION;-;X;-;-;
ENABLE_SETFILES;-;X;-;-;
ENABLE_FEATURE_IFCONFIG_HW;-;X;-;-;
ENABLE_FEATURE_SU_SYSLOG;-;X;-;-;
ENABLE_UMOUNT;-;X;-;-;
ENABLE_FEATURE_MOUNT_LOOP;-;X;-;-;
ENABLE_IFPLUGD;-;X;-;-;
ENABLE_RTCWAKE;-;X;-;-;
ENABLE_EXPR_MATH_SUPPORT_64;-;X;-;-;
ENABLE_EXPR;-;X;-;-;
ENABLE_FEATURE_EDITING_FANCY_PROMPT;-;X;-;-;
ENABLE_HUSH_LOOPS;-;X;-;-;
ENABLE_FEATURE_IFUPDOWN_EXTERNAL_DHCP;-;X;-;-;
ENABLE_FEATURE_FBSET_READMODE;-;X;-;-;
ENABLE_RX;-;X;-;-;
ENABLE_FEATURE_WGET_STATUSBAR;-;X;-;-;
ENABLE_WGET;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_CRAMFS;-;X;-;-;
ENABLE_FEATURE_IFUPDOWN_MAPPING;-;X;-;-;
ENABLE_FEATURE_FIND_MAXDEPTH;-;X;-;-;
ENABLE_FEATURE_INDIVIDUAL;-;-;X;-;
ENABLE_SETKEYCODES;-;X;-;-;
ENABLE_HUSH_SAVEHISTORY;-;X;-;-;
ENABLE_FEATURE_CHAT_TTY_HIFI;-;X;-;-;
ENABLE_FEATURE_TAR_TO_COMMAND;-;X;-;-;
ENABLE_FEATURE_OSF_LABEL;-;X;-;-;
ENABLE_FEATURE_BOOTCHARTD_BLOATED_HEADER;-;X;-;-;
ENABLE_FEATURE_MOUNT_HELPERS;-;X;-;-;
ENABLE_FEATURE_INETD_SUPPORT_BUILTIN_DAYTIME;-;X;-;-;
ENABLE_FEATURE_FANCY_HEAD;-;X;-;-;
ENABLE_HEAD;-;X;-;-;
ENABLE_ASH_OPTIMIZE_FOR_SIZE;-;X;-;-;
ENABLE_ECHO;-;X;-;-;
ENABLE_FEATURE_FANCY_ECHO;-;X;-;-;
ENABLE_FEATURE_LAST_SMALL;X;-;X;X;
ENABLE_FEATURE_LAST_FANCY;-;X;-;-;
ENABLE_FBSPLASH;-;X;-;-;
ENABLE_FEATURE_MDEV_EXEC;-;X;-;-;
ENABLE_FEATURE_MDEV_CONF;-;X;-;-;
ENABLE_RMDIR;-;X;-;-;
ENABLE_FEATURE_RMDIR_LONG_OPTIONS;-;X;-;-;
ENABLE_CHVT;-;X;-;-;
ENABLE_FEATURE_TRACEROUTE_USE_ICMP;-;X;-;-;
ENABLE_SETARCH;-;X;-;-;
ENABLE_FEATURE_CHAT_IMPLICIT_CR;-;X;-;-;
ENABLE_FEATURE_FIND_MMIN;-;X;-;-;
ENABLE_ADJTIMEX;-;X;-;-;
ENABLE_FEATURE_LOGREAD_REDUCED_LOCKING;-;X;-;-;
ENABLE_NC_SERVER;-;X;-;-;
ENABLE_UNICODE_PRESERVE_BROKEN;-;X;-;-;
ENABLE_ASH_EXPAND_PRMT;-;X;-;-;
ENABLE_UNICODE_USING_LOCALE;-;X;-;-;
ENABLE_FINDFS;-;X;-;-;
ENABLE_FEATURE_INITRD;-;X;-;-;
ENABLE_ADDUSER;-;X;-;-;
ENABLE_FEATURE_CHECK_NAMES;-;X;-;-;
ENABLE_ASH_RANDOM_SUPPORT;-;X;-;-;
ENABLE_FEATURE_IP_LINK;-;X;-;-;
ENABLE_FREE;-;X;-;-;
ENABLE_FEATURE_DEVFS;-;X;-;-;
ENABLE_MKFS_VFAT;-;X;-;-;
ENABLE_FEATURE_LZMA_FAST;-;X;-;-;
ENABLE_FEATURE_TOP_SMP_CPU;-;X;-;-;
ENABLE_FEATURE_EXTRA_QUIET;-;X;-;-;
ENABLE_FEATURE_FIND_GROUP;-;X;-;-;
ENABLE_FEATURE_VI_OPTIMIZE_CURSOR;-;X;-;-;
ENABLE_FEATURE_MOUNT_VERBOSE;-;X;-;-;
ENABLE_FEATURE_SH_IS_HUSH;-;X;-;-;
ENABLE_POWERTOP;-;X;-;-;
ENABLE_FEATURE_USE_TERMIOS;-;X;-;-;
ENABLE_BRCTL;-;X;-;-;
ENABLE_TFTP_DEBUG;-;X;-;-;
ENABLE_RESTORECON;-;X;-;-;
ENABLE_FEATURE_DATE_COMPAT;-;X;-;-;
ENABLE_SETSEBOOL;-;X;-;-;
ENABLE_LSATTR;-;X;-;-;
ENABLE_SETCONSOLE;-;X;-;-;
ENABLE_FEATURE_PASSWD_WEAK_CHECK;-;X;-;-;
ENABLE_PASSWD;-;X;-;-;
ENABLE_FEATURE_HTTPD_SET_REMOTE_PORT_TO_ENV;-;X;-;-;
ENABLE_FEATURE_TRACEROUTE_VERBOSE;-;X;-;-;
ENABLE_UBIATTACH;-;X;-;-;
ENABLE_OPENVT;-;X;-;-;
ENABLE_FEATURE_CHAT_CLR_ABORT;-;X;-;-;
ENABLE_FREERAMDISK;-;X;-;-;
ENABLE_ROUTE;-;X;-;-;
ENABLE_FEATURE_SYSLOGD_DUP;-;X;-;-;
ENABLE_FEATURE_SH_NOFORK;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_LINUXRAID;-;X;-;-;
ENABLE_FEATURE_UMOUNT_ALL;-;X;-;-;
ENABLE_FEATURE_FTP_WRITE;-;X;-;-;
ENABLE_FEATURE_LESS_LINENUMS;-;X;-;-;
ENABLE_IPRULE;-;X;-;-;
ENABLE_NANDDUMP;-;X;-;-;
ENABLE_SWAPONOFF;-;X;-;-;
ENABLE_ASH_BUILTIN_TEST;-;X;-;-;
ENABLE_TEST;-;X;-;-;
ENABLE_FEATURE_TEST_64;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_BTRFS;-;X;-;-;
ENABLE_FEATURE_IPCALC_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_MODUTILS_SYMBOLS;-;-;X;-;
ENABLE_FEATURE_HTTPD_USE_SENDFILE;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_NTFS;-;X;-;-;
ENABLE_FEATURE_BRCTL_SHOW;-;X;-;-;
ENABLE_FEATURE_TEE_USE_BLOCK_IO;-;X;-;-;
ENABLE_TEE;-;X;-;-;
ENABLE_FEATURE_TAR_OLDGNU_COMPATIBILITY;-;X;-;-;
ENABLE_FEATURE_MOUNT_LOOP_CREATE;-;X;-;-;
ENABLE_FEATURE_TR_EQUIV;-;X;-;-;
ENABLE_TR;-;X;-;-;
ENABLE_FEATURE_INIT_COREDUMPS;-;X;-;-;
ENABLE_FEATURE_DD_THIRD_STATUS_LINE;-;X;-;-;
ENABLE_FEATURE_VOLUMEID_LINUXSWAP;-;X;-;-;
ENABLE_FEATURE_IFCONFIG_MEMSTART_IOADDR_IRQ;-;X;-;-;
ENABLE_FEATURE_CALL_TELINIT;-;-;X;-;
ENABLE_DU;-;X;-;-;
ENABLE_DF;-;X;-;-;
ENABLE_FEATURE_HUMAN_READABLE;-;X;-;-;
ENABLE_FEATURE_START_STOP_DAEMON_FANCY;-;X;-;-;
