Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;
PCMCIA_VRC4171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PCMCIA_VRC4171_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SND_SIS7019;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SND_SIS7019_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PARPORT_1284;-;-;X;-;X;X;X;X;X;-;X;-;X;-;-;-;X;-;-;-;-;-;-;-;X;-;-;
PARPORT_1284_m;-;-;X;-;X;X;X;X;X;-;X;-;X;-;-;-;X;-;-;-;-;-;-;-;X;-;-;
USB_MUSB_HOST;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_MUSB_HOST_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SND_SOC_WM8960;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;
SND_SOC_WM8960_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
DEBUG_PAGEALLOC;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
DEBUG_PAGEALLOC_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FB_INTEL_DEBUG;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FB_INTEL_DEBUG_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CPU_LITTLE_ENDIAN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CPU_LITTLE_ENDIAN_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MT9V022_PCA9536_SWITCH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MT9V022_PCA9536_SWITCH_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
HID_ZEROPLUS;-;-;X;X;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
HID_ZEROPLUS_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
I2C_COMPAT;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
I2C_COMPAT_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CAPTURE_DAVINCI_DM646X_EVM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CAPTURE_DAVINCI_DM646X_EVM_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ASYNC_PQ;X;X;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ASYNC_PQ_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
HAVE_DMA_API_DEBUG;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
HAVE_DMA_API_DEBUG_m;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
B43LEGACY_DMA_MODE;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
B43LEGACY_DMA_MODE_m;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BCM47XX_WDT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BCM47XX_WDT_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SENSORS_PC87360;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SENSORS_PC87360_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FB_PNX4008_DUM_RGB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FB_PNX4008_DUM_RGB_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_OHCI_HCD_PPC_SOC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_OHCI_HCD_PPC_SOC_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MIPS_JAZZ_SONIC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MIPS_JAZZ_SONIC_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SERIAL_BFIN_DMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SERIAL_BFIN_DMA_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_BERRY_CHARGE;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_BERRY_CHARGE_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MOUSE_PS2;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;
MOUSE_PS2_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
JFFS2_LZO;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
JFFS2_LZO_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
TOUCHSCREEN_USB_JASTEC;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
TOUCHSCREEN_USB_JASTEC_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MGEODEGX1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;
MGEODEGX1_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;
MACH_MX31ADS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MACH_MX31ADS_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BAYCOM_SER_FDX;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BAYCOM_SER_FDX_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BT_BNEP;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BT_BNEP_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PATA_TOSHIBA;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PATA_TOSHIBA_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FB_ATY;-;-;X;X;X;X;X;-;X;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FB_ATY_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FB_BIG_ENDIAN;-;-;X;-;X;X;X;X;X;-;X;X;X;-;-;-;X;-;X;X;X;-;-;-;X;-;-;
FB_BIG_ENDIAN_m;-;-;X;-;X;X;X;X;X;-;X;X;X;-;-;-;X;-;X;X;X;-;-;-;X;-;-;
MEDIA_TUNER_MT2131;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MEDIA_TUNER_MT2131_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MEGARAID_NEWGEN;-;-;X;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MEGARAID_NEWGEN_m;-;-;X;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BACKTRACE_SELF_TEST;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BACKTRACE_SELF_TEST_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
IA64_SGI_SN2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
IA64_SGI_SN2_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
DVB_LNBP21;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
DVB_LNBP21_m;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
TEKRAM_DONGLE;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
TEKRAM_DONGLE_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
OTUS;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
OTUS_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CAN_BFIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CAN_BFIN_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SERIAL_S3C2412;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SERIAL_S3C2412_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PROC_KCORE;-;X;-;X;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;
PROC_KCORE_m;-;X;-;X;-;-;-;-;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;
X86_PLATFORM_DEVICES;-;X;X;-;X;X;X;X;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;
X86_PLATFORM_DEVICES_m;-;X;X;-;X;X;X;X;-;-;X;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;
SH_DREAMCAST;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SH_DREAMCAST_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FEALNX;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
FEALNX_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
NETFILTER_XT_MATCH_SCTP;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
NETFILTER_XT_MATCH_SCTP_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SCTP_HMAC_NONE;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SCTP_HMAC_NONE_m;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
XTENSA_PLATFORM_S6105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
XTENSA_PLATFORM_S6105_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
HISAX_HSTSAPHIR;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
HISAX_HSTSAPHIR_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SYSCTL_SYSCALL;X;X;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SYSCTL_SYSCALL_m;X;X;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MSI_WMI;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MSI_WMI_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
RTC_DRV_DS1672;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
RTC_DRV_DS1672_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
RADIO_SF16FMR2;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
RADIO_SF16FMR2_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MTD_MAP_BANK_WIDTH_1;-;X;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;X;-;X;-;-;-;-;-;
MTD_MAP_BANK_WIDTH_1_m;-;X;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;X;-;X;-;-;-;-;-;
ATARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ATARI_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
X86_ELAN;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
X86_ELAN_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
X86_DS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
X86_DS_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_DUMMY_HCD;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_DUMMY_HCD_m;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CPU_CACHE_VIPT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
CPU_CACHE_VIPT_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
EDAC_I82875P;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
EDAC_I82875P_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PATA_PALMLD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PATA_PALMLD_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SKY2;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SKY2_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_GSPCA_VC032X;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
USB_GSPCA_VC032X_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MAC_SCSI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MAC_SCSI_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ARCH_DAVINCI_DM365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ARCH_DAVINCI_DM365_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ATA_PIIX;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ATA_PIIX_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
AGP_INTEL;-;X;X;X;X;X;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
AGP_INTEL_m;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
IP_VS_PROTO_UDP;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
IP_VS_PROTO_UDP_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
HAVE_ARCH_EARLY_PFN_TO_NID;-;-;-;X;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
HAVE_ARCH_EARLY_PFN_TO_NID_m;-;-;-;X;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
UIO_AEC;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
UIO_AEC_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
EXT4_DEBUG;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
EXT4_DEBUG_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
LIBERTAS_SPI;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
LIBERTAS_SPI_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SND_OMAP_SOC_OVERO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SND_OMAP_SOC_OVERO_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
EVENTFD;X;X;-;-;-;-;X;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;
EVENTFD_m;X;X;-;-;-;-;X;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;
TELCLOCK;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
TELCLOCK_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MTD_PCMCIA_ANONYMOUS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MTD_PCMCIA_ANONYMOUS_m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SELECT_MEMORY_MODEL;-;X;X;X;X;X;X;X;-;X;X;-;-;X;-;-;X;-;-;X;-;-;-;-;X;-;-;
SELECT_MEMORY_MODEL_m;-;X;X;X;X;X;X;X;-;X;X;-;-;X;-;-;X;-;-;X;-;-;-;-;X;-;-;
NETDEV_10000;-;X;X;X;X;X;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
NETDEV_10000_m;-;X;X;X;X;X;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SECURITY_TOMOYO;-;X;-;-;X;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;
SECURITY_TOMOYO_m;-;X;-;-;X;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;
NETFILTER_XT_MATCH_RECENT;-;-;X;X;-;X;X;-;-;X;X;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;
NETFILTER_XT_MATCH_RECENT_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BLK_DEV_INTEGRITY;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
BLK_DEV_INTEGRITY_m;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
NETFILTER_NETLINK_LOG;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
NETFILTER_NETLINK_LOG_m;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SCSI_QLOGIC_1280;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SCSI_QLOGIC_1280_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ISDN_CAPI_CAPIFS;-;-;X;X;X;X;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
ISDN_CAPI_CAPIFS_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SND_MTS64;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SND_MTS64_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MMC_TEST;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
MMC_TEST_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PCI_HERMES;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
PCI_HERMES_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
IP_VS_TAB_BITS;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
IP_VS_TAB_BITS_m;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
TIPC;-;-;X;X;X;X;X;-;-;X;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
TIPC_m;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
